,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Región
121,2021,3,Capital Federal,111.27105514250894,Región AMBA
122,2021,3,Catamarca,52.709793486001274,Región NOA
123,2021,3,Chaco,42.96241007967663,Región NEA
124,2021,3,Chubut,80.70973847657562,Región Patagonia
125,2021,3,Córdoba,81.2845665540848,Región Centro
126,2021,3,Corrientes,44.90088312664412,Región NEA
127,2021,3,Entre Ríos,62.17940145385769,Región Centro
128,2021,3,Formosa,33.962033540684324,Región NEA
129,2021,3,Jujuy,55.6892647441935,Región NOA
130,2021,3,La Pampa,84.27996309653611,Región Patagonia
131,2021,3,La Rioja,77.26016061386845,Región Cuyo
132,2021,3,Mendoza,45.54828468056102,Región Cuyo
133,2021,3,Misiones,45.57065365808786,Región NEA
134,2021,3,Neuquén,69.70653344501615,Región Patagonia
135,2021,3,Río Negro,61.967213114754095,Región Patagonia
136,2021,3,Salta,55.964278059584196,Región NOA
137,2021,3,San Juan,39.4554480019856,Región Cuyo
138,2021,3,San Luis,79.87043349212911,Región Cuyo
139,2021,3,Santa Cruz,43.74732028012005,Región Patagonia
140,2021,3,Santa Fe,75.01704762728227,Región Centro
141,2021,3,Santiago Del Estero,47.0,Región NOA
142,2021,3,Tierra Del Fuego,94.95386825985027,Región Patagonia
143,2021,3,Tucumán,54.63604486100796,Región NOA
144,2021,2,Buenos Aires,70.00330336027972,Región Buenos Aires
145,2021,2,Capital Federal,110.14440203212098,Región AMBA
146,2021,2,Catamarca,52.34030966263861,Región NOA
147,2021,2,Chaco,43.32762729293539,Región NEA
148,2021,2,Chubut,72.29410481936469,Región Patagonia
149,2021,2,Córdoba,80.11518795931242,Región Centro
150,2021,2,Corrientes,43.5411637336848,Región NEA
151,2021,2,Entre Ríos,61.660264464787886,Región Centro
152,2021,2,Formosa,33.22548419322613,Región NEA
153,2021,2,Jujuy,56.182157011467694,Región NOA
154,2021,2,La Pampa,82.08000672325404,Región Patagonia
155,2021,2,La Rioja,76.9786615851933,Región Cuyo
156,2021,2,Mendoza,40.97324182617088,Región Cuyo
157,2021,2,Misiones,45.0128113119994,Región NEA
158,2021,2,Neuquén,69.14021084638621,Región Patagonia
159,2021,2,Río Negro,61.94204057417748,Región Patagonia
160,2021,2,Salta,54.930090174788894,Región NOA
161,2021,2,San Juan,39.28402570062062,Región Cuyo
162,2021,2,San Luis,83.47810720063075,Región Cuyo
163,2021,2,Santa Cruz,44.01491665543425,Región Patagonia
164,2021,2,Santa Fe,75.06878626293008,Región Centro
165,2021,2,Santiago Del Estero,46.557275364921054,Región NOA
166,2021,2,Tierra Del Fuego,67.88580775229184,Región Patagonia
167,2021,2,Tucumán,54.928196510348045,Región NOA
168,2021,1,Buenos Aires,69.10524076185938,Región Buenos Aires
169,2021,1,Capital Federal,108.4199392232935,Región AMBA
170,2021,1,Catamarca,48.899092927848244,Región NOA
171,2021,1,Chaco,43.13649241708794,Región NEA
172,2021,1,Chubut,68.9942808881567,Región Patagonia
