,Región_2022,Aumento %
4,Región NEA,256.0057639380074
2,Región Centro,234.73099694194022
3,Región Cuyo,208.9860404544172
0,Región AMBA,171.60732049898857
5,Región NOA,144.89993260751493
6,Región Patagonia,131.41073054696773
1,Región Buenos Aires,121.96279530814837
