,Año,Trimestre,Provincia,Mbps (Media de bajada),Región
125,2021,3,Córdoba,41.92778724566202,Región Centro
126,2021,3,Corrientes,32.16890082785829,Región NEA
127,2021,3,Entre Ríos,29.60123187949277,Región Centro
128,2021,3,Formosa,26.689426784946654,Región NEA
129,2021,3,Jujuy,25.980702520297545,Región NOA
130,2021,3,La Pampa,12.99161507240359,Región Patagonia
131,2021,3,La Rioja,38.86795185445044,Región Cuyo
132,2021,3,Mendoza,13.365156173184467,Región Cuyo
133,2021,3,Misiones,30.87871831426499,Región NEA
134,2021,3,Neuquén,38.34222315428742,Región Patagonia
135,2021,3,Río Negro,25.400065197148727,Región Patagonia
136,2021,3,Salta,31.209681857038827,Región NOA
137,2021,3,San Juan,7.041300820394967,Región Cuyo
138,2021,3,San Luis,21.69870707116376,Región Cuyo
139,2021,3,Santa Cruz,7.692326941812981,Región Patagonia
140,2021,3,Santa Fe,33.13229624738131,Región Centro
141,2021,3,Santiago Del Estero,13.352723533519553,Región NOA
142,2021,3,Tierra Del Fuego,9.52,Región Patagonia
143,2021,3,Tucumán,42.10118530571482,Región NOA
144,2021,2,Buenos Aires,52.75542937003713,Región Buenos Aires
145,2021,2,Capital Federal,72.74675003231476,Región AMBA
146,2021,2,Catamarca,42.18506376779111,Región NOA
147,2021,2,Chaco,37.396909596222066,Región NEA
148,2021,2,Chubut,7.67690621713348,Región Patagonia
149,2021,2,Córdoba,39.59011648994794,Región Centro
150,2021,2,Corrientes,30.368054802005656,Región NEA
151,2021,2,Entre Ríos,27.61897306203556,Región Centro
152,2021,2,Formosa,23.96630452806761,Región NEA
153,2021,2,Jujuy,25.812477856862227,Región NOA
154,2021,2,La Pampa,12.27922373804818,Región Patagonia
155,2021,2,La Rioja,38.534894383007746,Región Cuyo
156,2021,2,Mendoza,13.465987205003026,Región Cuyo
157,2021,2,Misiones,28.682221735396933,Región NEA
158,2021,2,Neuquén,36.10972145846688,Región Patagonia
159,2021,2,Río Negro,23.748446681442676,Región Patagonia
160,2021,2,Salta,29.239354220742428,Región NOA
161,2021,2,San Juan,6.993162601626016,Región Cuyo
162,2021,2,San Luis,21.66188998963924,Región Cuyo
163,2021,2,Santa Cruz,7.629667005202396,Región Patagonia
164,2021,2,Santa Fe,30.7018831645519,Región Centro
165,2021,2,Santiago Del Estero,12.718797838683303,Región NOA
166,2021,2,Tierra Del Fuego,8.591921426483484,Región Patagonia
167,2021,2,Tucumán,40.30992032851357,Región NOA
168,2021,1,Buenos Aires,50.78565608506508,Región Buenos Aires
169,2021,1,Capital Federal,68.29026886796898,Región AMBA
170,2021,1,Catamarca,39.96652623965282,Región NOA
171,2021,1,Chaco,33.6262012999863,Región NEA
172,2021,1,Chubut,7.531527409144197,Región Patagonia
173,2021,1,Córdoba,36.168799328437636,Región Centro
174,2021,1,Corrientes,25.985171359720066,Región NEA
175,2021,1,Entre Ríos,23.871334373183572,Región Centro
176,2021,1,Formosa,20.980327506975218,Región NEA
177,2021,1,Jujuy,26.777362312404005,Región NOA
178,2021,1,La Pampa,10.728511929531797,Región Patagonia
179,2021,1,La Rioja,12.697554732181876,Región Cuyo
180,2021,1,Mendoza,12.599361245254226,Región Cuyo
181,2021,1,Misiones,25.076826126081443,Región NEA
182,2021,1,Neuquén,34.23850264753642,Región Patagonia
183,2021,1,Río Negro,21.923906760830956,Región Patagonia
184,2021,1,Salta,27.31884069404982,Región NOA
185,2021,1,San Juan,6.910089995382067,Región Cuyo
186,2021,1,San Luis,21.594379804710776,Región Cuyo
187,2021,1,Santa Cruz,7.501531847531764,Región Patagonia
188,2021,1,Santa Fe,28.130630073152936,Región Centro
189,2021,1,Santiago Del Estero,11.584174516498134,Región NOA
190,2021,1,Tierra Del Fuego,8.734752396277898,Región Patagonia
191,2021,1,Tucumán,37.97961958190828,Región NOA
192,2020,4,Buenos Aires,50.008380839635755,Región Buenos Aires
193,2020,4,Capital Federal,67.32513676879374,Región AMBA
194,2020,4,Catamarca,37.6500877273544,Región NOA
195,2020,4,Chaco,32.45204676418101,Región NEA
196,2020,4,Chubut,7.383087626414736,Región Patagonia
197,2020,4,Córdoba,35.120601241883946,Región Centro
198,2020,4,Corrientes,25.446700896630592,Región NEA
199,2020,4,Entre Ríos,24.05327825306045,Región Centro
200,2020,4,Formosa,19.6983490087788,Región NEA
201,2020,4,Jujuy,25.20639328416149,Región NOA
202,2020,4,La Pampa,9.875605170860927,Región Patagonia
203,2020,4,La Rioja,12.534655980598345,Región Cuyo
204,2020,4,Mendoza,11.093171319457166,Región Cuyo
205,2020,4,Misiones,24.956617779680364,Región NEA
206,2020,4,Neuquén,33.90786486677393,Región Patagonia
207,2020,4,Río Negro,21.636719189849995,Región Patagonia
208,2020,4,Salta,25.322439650744734,Región NOA
209,2020,4,San Juan,6.412867397953183,Región Cuyo
210,2020,4,San Luis,21.252954082189127,Región Cuyo
211,2020,4,Santa Cruz,7.492108628119051,Región Patagonia
212,2020,4,Santa Fe,27.294352446215623,Región Centro
213,2020,4,Santiago Del Estero,11.280765527511996,Región NOA
214,2020,4,Tierra Del Fuego,8.486806949337868,Región Patagonia
215,2020,4,Tucumán,36.442246829152964,Región NOA
216,2020,3,Buenos Aires,48.37662390811511,Región Buenos Aires
217,2020,3,Capital Federal,63.80852025607172,Región AMBA
218,2020,3,Catamarca,36.540436607329845,Región NOA
219,2020,3,Chaco,30.802726948564217,Región NEA
220,2020,3,Chubut,7.402074441844787,Región Patagonia
221,2020,3,Córdoba,33.51119497419789,Región Centro
222,2020,3,Corrientes,23.851523971242955,Región NEA
223,2020,3,Entre Ríos,22.432598646206184,Región Centro
224,2020,3,Formosa,18.282832069430402,Región NEA
225,2020,3,Jujuy,21.910419686869954,Región NOA
226,2020,3,La Pampa,10.697630905402091,Región Patagonia
227,2020,3,La Rioja,12.194703767058197,Región Cuyo
228,2020,3,Mendoza,10.18749103459563,Región Cuyo
229,2020,3,Misiones,24.141761872521517,Región NEA
230,2020,3,Neuquén,31.46090402703376,Región Patagonia
